Brick,SMM
MERSIN HURRIYET+BARBAROS,AKDAŞ ECZANESİ
MERSIN MEZITLI+TECE,ALP ECZANESİ
MERSIN MEZITLI+TECE,ASLAN ECZANESİ
ADANA RESATBEY,ATAMAN ECZANESİ
MERSIN MEZITLI+TECE,BETÜL ECZANESİ
MERSIN TOROSLAR+AKBELEN,BİLGEN ECZANESİ
ADANA 19 MAYIS,BÜYÜKNİSAN ECZANESİ
ADANA KURUKOPRU,CADDE ECZANESİ
MERSIN HURRIYET+BARBAROS,ÇAĞDAŞ ECZANESİ
MERSIN TOROSLAR+AKBELEN,ÇAĞDAŞKENT ECZANESİ
ADANA CEYHAN MERKEZ-2,ÇAMLIYOL ECZANESİ
MERSIN MEZITLI+TECE,CANSU ECZANESİ
MERSIN BAHCE+HAMIDIYE,CEMALOĞLU ECZANESİ
MERSIN BAHCE+HAMIDIYE,ÇIĞLI ECZANESİ
MERSIN TARSUS -1,DARENDE ECZANESİ
MERSIN MEZITLI+TECE,DEMİRMENCİ ECZANESİ
MERSIN ERDEMLI,DEVA ECZANESİ
MERSIN MEZITLI+TECE,DÖNMEZ ECZANESİ
MERSIN MEZITLI+TECE,ECEM ECZANESİ
ADANA CEYHAN MERKEZ-2,EGEMEN ECZANESİ
ADANA 19 MAYIS,ERDAŞ ECZANESİ
MERSIN TARSUS -2,ERDİNÇ ECZANESİ
ADANA CEMALPASA,ESİN KIRAÇ ECZANESİ
ADANA RESATBEY,FEHİMAN ECZANESİ
ADANA RESATBEY,GAZİPAŞA ECZANESİ
MERSIN PALMIYE + INONU,GİZEM UYGUN ECZANESİ
MERSIN SILIFKE,GÖKSU ECZANESİ
MERSIN ELVANLI+KIZKALESI,GÖRKEM ECZANESİ
MERSIN MEZITLI+TECE,HASBAY ECZANESİ
MERSIN MEZITLI+TECE,İDİL ECZANESİ
MERSIN HURRIYET+BARBAROS,İKİZLER ECZANESİ
MERSIN PALMIYE + INONU,İREM ECZANESİ
MERSIN BAHCE+HAMIDIYE,IRMAK ECZANESİ
ADANA RESATBEY,İSTANBULLUOĞLU ECZANESİ
MERSIN MAHMUDIYE,LOTUS ECZANESİ
MERSIN PALMIYE + INONU,NEFES ECZANESİ
MERSIN MEZITLI+TECE,ÖNDER ECZANESİ
MERSIN TARSUS -5,ÖNDER GÜNER ECZANESİ
MERSIN TARSUS -3,ÖRSAN ECZANESİ
MERSIN MEZITLI+TECE,OYA ECZANESİ
MERSIN HURRIYET+BARBAROS,ÖZGÜN ECZANESİ
ADANA CEYHAN MERKEZ-2,SAĞLIK ECZANESİ
MERSIN SILIFKE,SAĞLIK ECZANESİ
MERSIN HURRIYET+BARBAROS,SARIYILDIZ ECZANESİ
ADANA RESATBEY,ŞENCAN ECZANESİ
MERSIN PALMIYE + INONU,SİBEL KOÇAK ECZANESİ
MERSIN TARSUS -5,SİMA ECZANESİ
MERSIN MEZITLI+TECE,SOLİ ECZANESİ
MERSIN MEZITLI+TECE,TECE PLUS ECZANESİ
ADANA RESATBEY,TUBA ÇOMOĞLU ECZANESİ
MERSIN SILIFKE,TUĞBA ECZANESİ
MERSIN ERDEMLI,TUNAY ECZANESİ
ADANA NARLICA+FEVZIPASA,UTKU ECZANESİ
MERSIN MEZITLI+TECE,UZMAN ECZANESİ
MERSIN MEZITLI+TECE,YAKUPOĞLU ECZANESİ
ADANA MAHFESIGMAZ -1,YENİ HAYAT ECZANESİ
MERSIN TOROSLAR+AKBELEN,YİĞİT ECZANESİ
MERSIN MEZITLI+TECE,YÜKSEL ECZANESİ
MERSIN HURRIYET+BARBAROS,YUNUS ECZANESİ
MUGLA DALAMAN+ORTACA,ALTIN ECZANESİ
MUGLA DALAMAN+ORTACA,ASLI ECZANESİ
MUGLA BODRUM -2,ATLAS ECZANESİ
MUGLA FETHIYE -2,BALCI ECZANESİ
MUGLA DALAMAN+ORTACA,BALCI ECZANESİ
MUGLA BODRUM -4,BANU ECZANESİ
MUGLA BODRUM -4,BEGONVİL ECZANESİ
MUGLA MARMARIS -2,BEGÜM ECZANESİ
MUGLA BODRUM -3,BERKAY BİROL ECZANESİ
MUGLA BODRUM -4,BİTEZ ECZANESİ
MUGLA BODRUM -4,BODRUM TURUNÇ ECZANESİ
MUGLA MARMARIS -1,BOZBURUN ECZANESİ
ANTALYA KAS+KALE,BUKET ECZANESİ
MUGLA BODRUM -3,BURÇİN ECZANESİ
MUGLA FETHIYE -2,ÇALIŞ ECZANESİ
MUGLA FETHIYE -3,ÇAMCI ECZANESİ
MUGLA DALAMAN+ORTACA,CAMUZCUOĞLU ECZANESİ
MUGLA BODRUM -4,CANSEL ECZANESİ
MUGLA FETHIYE -2,ÇARŞI ECZANESİ
MUGLA BODRUM -4,CEREN ECZANESİ
ANTALYA KAS+KALE,DERMAN ECZANESİ
ANTALYA KAS+KALE,DİCLE ECZANESİ
MUGLA DALAMAN+ORTACA,DİLEK ECZANESİ
MUGLA BODRUM -1,EGE ECZANESİ
MUGLA FETHIYE -2,ERTEM ECZANESİ
MUGLA BODRUM -3,FARİLYA ECZANESİ
MUGLA BODRUM -2,FİLİKA ECZANESİ
MUGLA BODRUM -4,GÜMÜŞLÜK ECZANESİ
MUGLA BODRUM -3,GÜNDOĞAN ECZANESİ
MUGLA FETHIYE -2,GÜNEŞ ECZANESİ
MUGLA MERKEZ -1,GÜNİZİ ECZANESİ
MUGLA FETHIYE -2,GÜVEN ECZANESİ
IZM MANAVKUYU,IŞIK ECZANESİ
MUGLA FETHIYE -3,KADIKÖY ECZANESİ
MUGLA MARMARIS -2,KARYA ECZANESİ
MUGLA BODRUM -2,KIVILCIM ECZANESİ
MUGLA MERKEZ -2,KURANOĞLU ECZANESİ
MUGLA BODRUM -3,LİMON ECZANESİ
MUGLA BODRUM -2,MANDARİN ECZANESİ
MUGLA BODRUM -4,MARİNA ECZANESİ
MUGLA BODRUM -3,MİDTOWN ECZANESİ
MUGLA BODRUM -4,NALBANTOĞLU ECZANESİ
MUGLA BODRUM -4,NATURA ECZANESİ
MUGLA MARMARIS -2,NİHAN ECZANESİ
MUGLA FETHIYE -3,ÖLÜDENİZ ECZANESİ
MUGLA BODRUM -4,ÖNER ECZANESİ
GAZIANTEP SAHINBEY - 11,ÖNGEN ECZANESİ
MUGLA BODRUM -3,ÖZER ECZANESİ
MUGLA BODRUM -4,PERA ECZANESİ
MUGLA BODRUM -4,ŞAFAK ECZANESİ
MUGLA FETHIYE -2,SEÇİL ECZANESİ
MUGLA MARMARIS -1,SERDAR ECZANESİ
MUGLA MARMARIS -2,SÖĞÜT ECZANESİ
MUGLA BODRUM -3,SÖĞÜTLÜ ECZANESİ
MUGLA BODRUM -2,SÖNMEZ ECZANESİ
MUGLA FETHIYE -2,TURKUAZ ECZANESİ
IST MERDIVENKOY -1,YALIKAVAK MARİNA ECZANESİ
IST SULTANBEYLI MERKEZ,YELKEN ECZANESİ
MUGLA BODRUM -1,YENİ ECZANESİ
MUGLA FETHIYE -2,YENİ ERTÜRK ECZANESİ
ANTALYA GAZIPASA,AİLE ECZANESİ
ANTALYA LARA+AKSU+C.KAYA,AKDENİZ PARK ECZANESİ
ANTALYA GAZIPASA,AKGÜN ECZANESİ
ANTALYA ALANYA -1,ARIKAN ECZANESİ
ANTALYA ALANYA -2,AY ECZANESİ
ANTALYA ALANYA -2,AZAKOĞLU ECZANESİ
ANTALYA ALANYA -3,BAŞAK ECZANESİ
ANTALYA ALANYA -3,BULUT ECZANESİ
ANTALYA AVSALLAR+KONAKLI,ÇAĞRICI ECZANESİ
ANTALYA ALANYA -3,ÇETİNKAYA ECZANESİ
ANTALYA AVSALLAR+KONAKLI,DENİZ ECZANESİ
ANTALYA GAZIPASA,DİM ECZANESİ
ANTALYA MANAVGAT -1,GİZEM ECZANESİ
ANTALYA SIDE+SORGUN,PINAR ECZANESİ
ANTALYA MANAVGAT -2,GÖKBEN ECZANESİ
ANTALYA GAZIPASA,GONCA ECZANESİ
ANTALYA ALANYA -3,GÜLERYÜZ ECZANESİ
ANTALYA ALANYA -2,KASAPOĞLU ECZANESİ
ANTALYA AVSALLAR+KONAKLI,MURAT ECZANESİ
ANTALYA AVSALLAR+KONAKLI,NEVBAHAR ECZANESİ
ANTALYA ALANYA -3,NİL ECZANESİ
ANTALYA AVSALLAR+KONAKLI,NUMAN ECZANESİ
ANTALYA ALANYA -3,ÖZNUR ECZANESİ
ANTALYA MANAVGAT -2,RİMMA ECZANESİ
ANTALYA AVSALLAR+KONAKLI,ŞANLI ECZANESİ
ANTALYA AVSALLAR+KONAKLI,SEVGİ ECZANESİ
ANTALYA SIDE+SORGUN,SEVGİ ECZANESİ
ANTALYA GAZIPASA,ŞİFA ECZANESİ
ANTALYA ALANYA -3,ŞİRİN ECZANESİ
ANTALYA ALANYA -2,SU ECZANESİ
ANTALYA SIDE+SORGUN,TUGİN ECZANESİ
ANTALYA ALANYA -3,TURUNÇ ECZANESİ
ANTALYA ALANYA -3,VİTAMİN ECZANESİ
ANTALYA GAZIPASA,ANILGAN ECZANESİ
ANTALYA GAZIPASA,EMİR ECZANESİ
ANTALYA GAZIPASA,GÖKMENLER ECZANESİ
ANTALYA GAZIPASA,GÖZLEM ECZANESİ
ANTALYA GAZIPASA,HACETTEPE ECZANESİ
ANTALYA ALANYA -2,NATURA ECZANESİ
ANTALYA LARA+AKSU+C.KAYA,AKSU MERT ECZANESİ
ANTALYA SIDE+SORGUN,ALBATROS ECZANESİ
ANTALYA MANAVGAT -2,BARBAROS ECZANESİ
ANTALYA KUMKOY+COLAKLI,BÜYÜKDEMİR ECZANESİ
ANTALYA GAZIPASA,DOĞA ECZANESİ
ANTALYA KUMKOY+COLAKLI,EGE OYKUN BAŞAR ECZANESİ
ANTALYA ALANYA -3,FİLİZ ECZANESİ
