Kategori,Anket Soruları,Segment,Skor,örümcek ağı kategori
Ziyaret Öncesi,Önceki ziyaret notlarını inceler.,eczane,3,Öğrenme Çevikliği
Ziyaret Öncesi,"Ziyaret planını segmentasyona göre yapar, uygular ve yöneticisine iletir.",eczane,4.5,Müşteri Odaklılık
Ziyaret Öncesi,"IMS ve satış verilerini analiz eder, rekabeti takip eder.",eczane,6,Öğrenme Çevikliği
Ziyaret Öncesi,Segmentasyona uygun SMART hedefler belirler.,eczane,9,Müşteri Odaklılık
Ziyaret Öncesi,Önceki ziyaretindeki notlarını gözden geçirir,eczane,2.4,Müşteri Odaklılık
Ziyaret Öncesi,Gelebilecek soru ve itirazlara hazırlık yapar.,eczane,5.1,Müşteri Odaklılık
Ziyaret Esnasında,Ziyaretin sebebini ve önemini açıklar.,eczane,2.25,Müşteri Odaklılık
Ziyaret Esnasında,Önceki ziyaretle bağlantı kurar.,eczane,2.25,Müşteri Odaklılık
Ziyaret Esnasında,"Stok, satış ve ürün görünürlüğünü kontrol eder.",eczane,4.5,Sonuç Çevikliği
Ziyaret Esnasında,Eczane içi görünürlük fırsatlarını saptar,eczane,2.25,Müşteri Odaklılık
Ziyaret Esnasında,Segmentine göre MSL uygunluğunu kontrol eder.,eczane,2.25,Değişim Çevikliği
Ziyaret Esnasında,Tüm portföy için medikal ve ürün bilgisine hakimdir.,eczane,6.75,Öğrenme Çevikliği
Ziyaret Esnasında,Paydaşlara göre ticari ve medikal detaylandırmayı yapar.,eczane,4.5,Müşteri Odaklılık
Ziyaret Esnasında,İhtiyacı ortaya çıkaracak doğru sorular sorar. ,eczane,4.5,Öğrenme Çevikliği
Ziyaret Esnasında,Netleştiği ihtiyaca uygun şirket stratejileri ile paralel aksiyon planı yapar.,eczane,6.75,Sonuç Çevikliği
Ziyaret Esnasında,"İhtiyaca yönelik ticari teklifi bir satış hikayesi ile yapar, eyleme dayalı kapanış gerçekleştirir.",eczane,4.5,Sonuç Çevikliği
Ziyaret Esnasında,Eğer kontrat Eczanesi ise; kontrat şartlarını kontrol eder ve gerekli aksiyonu alır.,eczane,0,Sonuç Çevikliği
Ziyaret Esnasında,Eğer Kontrat Eczanesi değil ise; eczanenin görünürlük imkanları ve satış hacmini göz önünde bulundurarak kontrat süreci başlatır.,eczane,4.5,Sonuç Çevikliği
Ziyaret Sonrası,Ziyaret hedefine göre mevcut durumu karşılaştırır.,eczane,8.35,Sonuç Çevikliği
Ziyaret Sonrası,"Ziyaret sonrası notlarını alır, bir sonraki ziyaret hedefini belirler.",eczane,8.325,Öğrenme Çevikliği
Ziyaret Sonrası,Eczane ziyaret bilgilerini zamanında Ziyaret sistemine düzenli senkronize eder.,eczane,8.325,Sonuç Çevikliği
Ziyaret Öncesi,HCP'nin segmentini dikkate alır,doktor,6,Müşteri Odaklılık
Ziyaret Öncesi,SMM'nin sosyal stil tercihiyle bağlantılı kapsamlı bir plan yapar,doktor,6,Müşteri Odaklılık
Ziyaret Öncesi,Doktorun benimse basamağını bilir.,doktor,4.5,Müşteri Odaklılık
Ziyaret Öncesi,Ziyareti doğru zamanda ya da randevulu şekilde planlar.,doktor,1.5,Müşteri Odaklılık
Ziyaret Öncesi,İlgili tüm materyalleri hazırlar,doktor,3,Sonuç Çevikliği
Ziyaret Öncesi,"SMART, sıralı bir ziyaret hedefi/hedefleri belirler",doktor,9,Müşteri Odaklılık
Ziyaret Esnasında,Tüm portföy için medikal ve ürün bilgisine hakimdir.,doktor,9,Öğrenme Çevikliği
Ziyaret Esnasında,HCP'nin bakış açısını anlamaya ve ihtiyaçlarını netleştirmek için amaca yönelik sorular sorar,doktor,6.75,Öğrenme Çevikliği
Ziyaret Esnasında,Netleştiği ihtiyaca uygun şirket stratejileri ile paralel aksiyon planı yapar.,doktor,4.5,Sonuç Çevikliği
Ziyaret Esnasında,Özellik - Fonksiyonel Fayda ve Duygusal Fayda sunar,doktor,4.5,Sonuç Çevikliği
Ziyaret Esnasında,HCP için net ve ikna edici bilgileri iletir.,doktor,2.25,Müşteri Odaklılık
Ziyaret Esnasında,itiraz sinyallerini değerlendirir ve netleşme soruları sorar.,doktor,4.5,Kişisel Farkındalık
Ziyaret Esnasında,İtirazı karşılayacak kaynaklar sunar,doktor,4.5,Değişim Çevikliği
Ziyaret Esnasında,HCP'nin kararlarını değiştirecek ya da destekleyecek verileri sunar,doktor,4.5,Değişim Çevikliği
Ziyaret Esnasında,Görüşme boyunca sosyal stil farkındalığını gösterir,doktor,2.25,Kişisel Farkındalık
Ziyaret Esnasında,Ziyaretin kapanış adımlarını uygular.,doktor,2.25,Sonuç Çevikliği
Ziyaret Sonrası,Ziyaret hedefine göre ziyaretin durumunu karşılaştırır.,doktor,8.35,Sonuç Çevikliği
Ziyaret Sonrası,"Ziyaret sonrası notlarını alır, bir sonraki ziyaret hedefini belirler.",doktor,8.325,Öğrenme Çevikliği
Ziyaret Sonrası,Doktor ziyaret bilgilerini zamanında Ziyaret sistemine düzenli senkronize eder.,doktor,8.325,Sonuç Çevikliği
